Designator,Mid X,Mid Y,Rotation,Layer
C1,136.65,-96.6,0.0,top
C2,137.4,-94.15,0.0,top
D1,187.975,-89.725,180.0,top
J1,158.0,-99.1,180.0,top
R1,159.15,-94.325,270.0,top
R2,188.05,-91.8,180.0,top
SW2,187.8,-83.75,90.0,top
